SCHOOL_YEAR,DIVISION NUMBER,DIVISION NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL ACCREDITATION RATING
2009-2010,117,Newport News City,1170,Carver Elementary,Fully Accredited
2009-2010,117,Newport News City,1393,Crittenden Middle,Fully Accredited
2009-2010,117,Newport News City,50,David A. Dutrow Elementary,Fully Accredited
2009-2010,117,Newport News City,1398,Deer Park Elementary,Fully Accredited
2009-2010,117,Newport News City,280,Denbigh High,Fully Accredited
2009-2010,117,Newport News City,1260,Ethel M. Gildersleeve Middle,Fully Accredited
2009-2010,117,Newport News City,1407,General Stanford Elementary,Fully Accredited
2009-2010,117,Newport News City,70,George J. McIntosh Elementary,Fully Accredited
2009-2010,117,Newport News City,1395,Heritage High,Fully Accredited
2009-2010,117,Newport News City,1210,Hidenwood Elementary,Fully Accredited
2009-2010,117,Newport News City,1080,Hilton Elementary,Fully Accredited
2009-2010,117,Newport News City,1270,Homer L. Hines Middle,Fully Accredited
2009-2010,117,Newport News City,1240,Horace H. Epes Elementary,Fully Accredited
2009-2010,117,Newport News City,91,Huntington Middle,Fully Accredited
2009-2010,117,Newport News City,20,J.M. Dozier Middle,Fully Accredited
2009-2010,117,Newport News City,120,John Marshall Elementary,Fully Accredited
2009-2010,117,Newport News City,300,Joseph H. Saunders Elementary,Fully Accredited
2009-2010,117,Newport News City,1290,Kiln Creek Elementary,Fully Accredited
2009-2010,117,Newport News City,200,L.F. Palmer Elementary,Fully Accredited
2009-2010,117,Newport News City,1180,Lee Hall Elementary,Fully Accredited
2009-2010,117,Newport News City,130,Magruder Elementary,Fully Accredited
2009-2010,117,Newport News City,1400,Mary Passage Middle,Fully Accredited
2009-2010,117,Newport News City,1220,Menchville High,Fully Accredited
2009-2010,117,Newport News City,1120,Newsome Park Elementary,Fully Accredited
2009-2010,117,Newport News City,150,Oliver C. Greenwood Elementary,Fully Accredited
2009-2010,117,Newport News City,310,R.O. Nelson Elementary,Fully Accredited
2009-2010,117,Newport News City,270,Richard T. Yates Elementary,Fully Accredited
2009-2010,117,Newport News City,1230,Richneck Elementary,Fully Accredited
2009-2010,117,Newport News City,1150,Riverside Elementary,Fully Accredited
2009-2010,117,Newport News City,1200,Sedgefield Elementary,Fully Accredited
2009-2010,117,Newport News City,250,South Morrison Elementary,Fully Accredited
2009-2010,117,Newport News City,290,T. Ryland Sanford Elementary,Fully Accredited
2009-2010,117,Newport News City,1070,Warwick High,Fully Accredited
2009-2010,117,Newport News City,320,Willis A. Jenkins Elementary,Fully Accredited
2009-2010,117,Newport News City,1396,Woodside High,Fully Accredited
2009-2010,118,Norfolk City,760,Azalea Gardens Middle,Fully Accredited
2009-2010,118,Norfolk City,880,B.T. Washington High,Fully Accredited
2009-2010,118,Norfolk City,250,Bay View Elementary,Fully Accredited
2009-2010,118,Norfolk City,20,Blair Middle,Fully Accredited
2009-2010,118,Norfolk City,40,Camp Allen Elementary,Fully Accredited
2009-2010,118,Norfolk City,770,Campostella Elementary,Fully Accredited
2009-2010,118,Norfolk City,220,Chesterfield Academy Elementary,Fully Accredited
2009-2010,118,Norfolk City,550,Coleman Place Elementary,Fully Accredited
2009-2010,118,Norfolk City,560,Crossroads Elementary,Fully Accredited
2009-2010,118,Norfolk City,810,Dreamkeepers Academy/J.J. Roberts Elementary,Fully Accredited
2009-2010,118,Norfolk City,750,Fairlawn Elementary,Fully Accredited
2009-2010,118,Norfolk City,90,Ghent Elementary,Fully Accredited
2009-2010,118,Norfolk City,420,Granby Elementary,Fully Accredited
2009-2010,118,Norfolk City,390,Granby High,Fully Accredited
2009-2010,118,Norfolk City,610,Ingleside Elementary,Fully Accredited
2009-2010,118,Norfolk City,430,Jacox Elementary,Fully Accredited
2009-2010,118,Norfolk City,131,James Monroe Elementary,Fully Accredited
2009-2010,118,Norfolk City,180,Lafayette-Winona Middle,Conditionally Accredited
2009-2010,118,Norfolk City,840,Lake Taylor High,Fully Accredited
2009-2010,118,Norfolk City,790,Lake Taylor Middle,Conditionally Accredited
2009-2010,118,Norfolk City,210,Larchmont Elementary,Fully Accredited
2009-2010,118,Norfolk City,670,Larrymore Elementary,Fully Accredited
2009-2010,118,Norfolk City,520,Lindenwood Elementary,Accredited with Warning
2009-2010,118,Norfolk City,682,Little Creek Elementary,Fully Accredited
2009-2010,118,Norfolk City,460,Mary Calcott Elementary,Fully Accredited
2009-2010,118,Norfolk City,10,Maury High,Fully Accredited
2009-2010,118,Norfolk City,490,Northside Middle,Conditionally Accredited
2009-2010,118,Norfolk City,620,Norview Elementary,Fully Accredited
2009-2010,118,Norfolk City,580,Norview High,Fully Accredited
2009-2010,118,Norfolk City,570,Norview Middle,Fully Accredited
2009-2010,118,Norfolk City,540,Oakwood Elementary,Fully Accredited
2009-2010,118,Norfolk City,190,Ocean View Elementary,Fully Accredited
2009-2010,118,Norfolk City,630,Oceanair Elementary,Fully Accredited
2009-2010,118,Norfolk City,530,P.B. Young Sr. Elementary,Fully Accredited
2009-2010,118,Norfolk City,710,Poplar Halls Elementary,Fully Accredited
2009-2010,118,Norfolk City,480,Richard Bowling Elementary,Fully Accredited
2009-2010,118,Norfolk City,730,Rosemont Middle,Fully Accredited
2009-2010,118,Norfolk City,30,Ruffner Middle,Accredited with Warning
2009-2010,118,Norfolk City,2119,School of International Studies at Meadowbrook,Fully Accredited
2009-2010,118,Norfolk City,850,Sewells Point Elementary,Fully Accredited
2009-2010,118,Norfolk City,650,Sherwood Forest Elementary,Fully Accredited
2009-2010,118,Norfolk City,820,St. Helena Elementary,Fully Accredited
2009-2010,118,Norfolk City,500,Suburban Park Elementary,Fully Accredited
2009-2010,118,Norfolk City,100,Tanners Creek Elementary,Fully Accredited
2009-2010,118,Norfolk City,800,Tarrallton Elementary,Fully Accredited
2009-2010,118,Norfolk City,780,Tidewater Park Elementary,Fully Accredited
2009-2010,118,Norfolk City,150,Walter Herron Taylor Elementary,Fully Accredited
2009-2010,118,Norfolk City,471,Willard Model Elementary,Fully Accredited
2009-2010,118,Norfolk City,860,Willoughby Elementary,Fully Accredited
2009-2010,65,Northampton County,452,Kiptopeke Elementary,Accredited with Warning
2009-2010,65,Northampton County,350,Northampton High,Fully Accredited
2009-2010,65,Northampton County,451,Occohannock Elementary,Fully Accredited
2009-2010,66,Northumberland County,331,Northumberland Elementary,Fully Accredited
2009-2010,66,Northumberland County,40,Northumberland High,Fully Accredited
2009-2010,66,Northumberland County,210,Northumberland Middle,Fully Accredited
2009-2010,119,Norton City,20,J.I. Burton High,Fully Accredited
2009-2010,119,Norton City,40,Norton Elementary,Fully Accredited
2009-2010,67,Nottoway County,340,Blackstone Primary,Fully Accredited
2009-2010,67,Nottoway County,310,Burkeville Elementary,Fully Accredited
2009-2010,67,Nottoway County,330,Crewe Primary,Fully Accredited
2009-2010,67,Nottoway County,301,Nottoway High,Fully Accredited
2009-2010,67,Nottoway County,300,Nottoway Intermediate,Fully Accredited
2009-2010,67,Nottoway County,302,Nottoway Middle,Fully Accredited
2009-2010,68,Orange County,360,Gordon Barbour Elementary,Fully Accredited
2009-2010,68,Orange County,70,Lightfoot Elementary,Fully Accredited
2009-2010,68,Orange County,50,Locust Grove Elementary,Fully Accredited
2009-2010,68,Orange County,471,Locust Grove Middle,Fully Accredited
2009-2010,68,Orange County,330,Orange County High,Fully Accredited
2009-2010,68,Orange County,370,Orange Elementary,Fully Accredited
2009-2010,68,Orange County,340,Prospect Heights Middle,Fully Accredited
2009-2010,68,Orange County,350,Unionville Elementary,Fully Accredited
2009-2010,69,Page County,300,Grove Hill Elementary,Fully Accredited
2009-2010,69,Page County,350,Luray Elementary,Fully Accredited
2009-2010,69,Page County,110,Luray High,Fully Accredited
2009-2010,69,Page County,400,Luray Middle,Conditionally Accredited
2009-2010,69,Page County,380,Page County High,Fully Accredited
2009-2010,69,Page County,390,Page County Middle,Conditionally Accredited
2009-2010,69,Page County,310,Shenandoah Elementary,Fully Accredited
2009-2010,69,Page County,50,Springfield Elementary,Fully Accredited
2009-2010,69,Page County,210,Stanley Elementary,Fully Accredited
2009-2010,70,Patrick County,440,Blue Ridge Elementary,Fully Accredited
2009-2010,70,Patrick County,350,Hardin Reynolds Elementary,Fully Accredited
2009-2010,70,Patrick County,150,Meadows of Dan Elementary,Fully Accredited
2009-2010,70,Patrick County,700,Patrick County High,Fully Accredited
2009-2010,70,Patrick County,680,Patrick Springs Elementary,Fully Accredited
2009-2010,70,Patrick County,320,Stuart Elementary,Fully Accredited
2009-2010,70,Patrick County,80,Woolwine Elementary,Fully Accredited
2009-2010,120,Petersburg City,110,A.P. Hill Elementary,Fully Accredited
2009-2010,120,Petersburg City,180,J.E.B. Stuart Elementary,Accreditation Denied
2009-2010,120,Petersburg City,121,Peabody Middle,Accreditation Denied
2009-2010,120,Petersburg City,200,Petersburg High,Fully Accredited
2009-2010,120,Petersburg City,170,Robert E. Lee Elementary,Fully Accredited
2009-2010,120,Petersburg City,211,Vernon Johns Junior High,Accreditation Denied
2009-2010,120,Petersburg City,130,Walnut Hill Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1853,Brosville Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,640,Chatham Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1720,Chatham High,Fully Accredited
2009-2010,71,Pittsylvania County,1660,Chatham Middle,Fully Accredited
2009-2010,71,Pittsylvania County,1090,Dan River Middle,Fully Accredited
2009-2010,71,Pittsylvania County,1680,Dan River Senior High,Fully Accredited
2009-2010,71,Pittsylvania County,280,Gretna Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,290,Gretna Middle,Fully Accredited
2009-2010,71,Pittsylvania County,1700,Gretna Senior High,Fully Accredited
2009-2010,71,Pittsylvania County,30,John L. Hurt Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1690,Kentuck Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1750,Mount Airy Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1460,Southside Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1710,Stony Mill Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1130,Tunstall Middle,Fully Accredited
2009-2010,71,Pittsylvania County,1730,Tunstall Senior High,Fully Accredited
2009-2010,71,Pittsylvania County,1851,Twin Springs Elementary,Fully Accredited
2009-2010,71,Pittsylvania County,1740,Union Hall Elementary,Fully Accredited
2009-2010,142,Poquoson City,150,Poquoson Elementary,Fully Accredited
2009-2010,142,Poquoson City,10,Poquoson High,Fully Accredited
2009-2010,142,Poquoson City,130,Poquoson Middle,Fully Accredited
2009-2010,142,Poquoson City,160,Poquoson Primary,Fully Accredited
2009-2010,121,Portsmouth City,1766,Brighton Elementary,Fully Accredited
2009-2010,121,Portsmouth City,321,Churchland Academy Elementary,Fully Accredited
2009-2010,121,Portsmouth City,650,Churchland Elementary,Fully Accredited
2009-2010,121,Portsmouth City,500,Churchland High,Fully Accredited
2009-2010,121,Portsmouth City,320,Churchland Middle,Fully Accredited
2009-2010,121,Portsmouth City,160,Churchland Primary & Intermediate,Fully Accredited
2009-2010,121,Portsmouth City,1130,Cradock Middle,Fully Accredited
2009-2010,121,Portsmouth City,190,Douglass Park Elementary,Fully Accredited
2009-2010,121,Portsmouth City,1630,Hodges Manor Elementary,Fully Accredited
2009-2010,121,Portsmouth City,240,I.C. Norcom High,Fully Accredited
2009-2010,121,Portsmouth City,1400,James Hurst Elementary,Fully Accredited
2009-2010,121,Portsmouth City,230,John Tyler Elementary,Fully Accredited
2009-2010,121,Portsmouth City,1650,Lakeview Elementary,Fully Accredited
2009-2010,121,Portsmouth City,290,Olive Branch Elementary,Fully Accredited
2009-2010,121,Portsmouth City,60,Park View Elementary,Fully Accredited
2009-2010,121,Portsmouth City,1480,Simonsdale Elementary,Fully Accredited
2009-2010,121,Portsmouth City,1769,Victory Elementary,Fully Accredited
2009-2010,121,Portsmouth City,210,Westhaven Elementary,Fully Accredited
2009-2010,121,Portsmouth City,310,William E. Waters Middle,Fully Accredited
2009-2010,121,Portsmouth City,1660,Woodrow Wilson High,Fully Accredited
2009-2010,72,Powhatan County,21,Flat Rock Elementary,Fully Accredited
2009-2010,72,Powhatan County,231,Pocahontas Elementary,Fully Accredited
2009-2010,72,Powhatan County,232,Pocahontas Middle,Fully Accredited
2009-2010,72,Powhatan County,13,Powhatan Elementary,Fully Accredited
2009-2010,72,Powhatan County,11,Powhatan High,Fully Accredited
2009-2010,72,Powhatan County,130,Powhatan Junior High,Fully Accredited
2009-2010,73,Prince Edward County,400,Prince Edward County High,Fully Accredited
2009-2010,73,Prince Edward County,10,Prince Edward Elementary,Fully Accredited
2009-2010,73,Prince Edward County,20,Prince Edward Middle,Fully Accredited
2009-2010,74,Prince George County,340,David A. Harrison Elementary,Fully Accredited
2009-2010,74,Prince George County,320,J.E.J. Moore Middle,Fully Accredited
2009-2010,74,Prince George County,310,L.L. Beazley Elementary,Fully Accredited
2009-2010,74,Prince George County,270,N.B. Clements Junior High,Fully Accredited
2009-2010,74,Prince George County,290,North Elementary,Fully Accredited
2009-2010,74,Prince George County,20,Prince George High,Fully Accredited
2009-2010,74,Prince George County,300,South Elementary,Fully Accredited
2009-2010,74,Prince George County,280,William A. Walton Elementary,Fully Accredited
2009-2010,75,Prince William County,330,A. Henderson Elementary,Fully Accredited
2009-2010,75,Prince William County,760,Antietam Elementary,Fully Accredited
2009-2010,75,Prince William County,200,Ashland Elementary,Fully Accredited
2009-2010,75,Prince William County,290,Battlefield High,Fully Accredited
2009-2010,75,Prince William County,670,Bel Air Elementary,Fully Accredited
2009-2010,75,Prince William County,600,Belmont Elementary,Fully Accredited
2009-2010,75,Prince William County,840,Bennett Elementary,Fully Accredited
2009-2010,75,Prince William County,530,Brentsville District High,Fully Accredited
2009-2010,75,Prince William County,860,Bristow Run Elementary,Fully Accredited
2009-2010,75,Prince William County,950,Buckland Mills Elementary,Fully Accredited
2009-2010,75,Prince William County,920,Bull Run Middle,Fully Accredited
2009-2010,75,Prince William County,620,C.A. Sinclair Elementary,Fully Accredited
2009-2010,75,Prince William County,710,C.D. Hylton High,Fully Accredited
2009-2010,75,Prince William County,900,Cedar Point Elementary,Fully Accredited
2009-2010,75,Prince William County,660,Coles Elementary,Fully Accredited
2009-2010,75,Prince William County,610,Dale City Elementary,Fully Accredited
2009-2010,75,Prince William County,280,Dumfries Elementary,Fully Accredited
2009-2010,75,Prince William County,490,E.H. Marsteller Middle,Fully Accredited
2009-2010,75,Prince William County,580,Elizabeth Vaughan Elementary,Fully Accredited
2009-2010,75,Prince William County,120,Enterprise Elementary,Fully Accredited
2009-2010,75,Prince William County,370,Fannie W. Fitzgerald Elementary,Fully Accredited
2009-2010,75,Prince William County,450,Featherstone Elementary,Fully Accredited
2009-2010,75,Prince William County,870,Forest Park High,Fully Accredited
2009-2010,75,Prince William County,520,Fred M. Lynn Middle,Fully Accredited
2009-2010,75,Prince William County,300,Freedom High,Fully Accredited
2009-2010,75,Prince William County,960,Gainesville Middle,Fully Accredited
2009-2010,75,Prince William County,690,Gar-Field High,Fully Accredited
2009-2010,75,Prince William County,630,George G. Tyler Elementary,Fully Accredited
2009-2010,75,Prince William County,770,George P. Mullen Elementary,Fully Accredited
2009-2010,75,Prince William County,340,Glenkirk Elementary,Fully Accredited
2009-2010,75,Prince William County,510,Graham Park Middle,Fully Accredited
2009-2010,75,Prince William County,380,Herbert J. Saunders Middle,Fully Accredited
2009-2010,75,Prince William County,220,J.W. Alvey Elementary,Fully Accredited
2009-2010,75,Prince William County,130,John F. Pattie Sr. Elementary,Fully Accredited
2009-2010,75,Prince William County,70,Kerrydale Elementary,Fully Accredited
2009-2010,75,Prince William County,180,Lake Ridge Elementary,Fully Accredited
2009-2010,75,Prince William County,720,Lake Ridge Middle,Fully Accredited
2009-2010,75,Prince William County,830,Leesylvania Elementary,Fully Accredited
2009-2010,75,Prince William County,460,Loch Lomond Elementary,Fully Accredited
2009-2010,75,Prince William County,880,Louise A. Benton Middle,Fully Accredited
2009-2010,75,Prince William County,160,Martin Luther King Jr. Elementary,Fully Accredited
2009-2010,75,Prince William County,570,Marumsco Hills Elementary,Fully Accredited
2009-2010,75,Prince William County,231,Mary G. Porter Traditional,Fully Accredited
2009-2010,75,Prince William County,240,Mary Williams Elementary,Fully Accredited
2009-2010,75,Prince William County,640,Mills E. Godwin Middle,Accredited with Warning
2009-2010,75,Prince William County,30,Minnieville Elementary,Fully Accredited
2009-2010,75,Prince William County,800,Montclair Elementary,Fully Accredited
2009-2010,75,Prince William County,810,Mountain View Elementary,Fully Accredited
2009-2010,75,Prince William County,700,Neabsco Elementary,Fully Accredited
2009-2010,75,Prince William County,150,Nokesville Elementary,Fully Accredited
2009-2010,75,Prince William County,260,Occoquan Elementary,Fully Accredited
2009-2010,75,Prince William County,820,Old Bridge Elementary,Fully Accredited
2009-2010,75,Prince William County,80,Osbourn Park High,Fully Accredited
2009-2010,75,Prince William County,501,Parkside Middle,Fully Accredited
2009-2010,75,Prince William County,945,Pennington School,Fully Accredited
2009-2010,75,Prince William County,140,Potomac High,Fully Accredited
2009-2010,75,Prince William County,170,Potomac Middle,Fully Accredited
2009-2010,75,Prince William County,550,Potomac View Elementary,Fully Accredited
2009-2010,75,Prince William County,440,R. Dean Kilby Elementary,Fully Accredited
2009-2010,75,Prince William County,591,Rippon Middle,Fully Accredited
2009-2010,75,Prince William County,750,River Oaks Elementary,Fully Accredited
2009-2010,75,Prince William County,40,Rockledge Elementary,Fully Accredited
2009-2010,75,Prince William County,941,Rosa Parks Elementary,Fully Accredited
2009-2010,75,Prince William County,360,Samuel L. Gravely Jr. Elementary,Fully Accredited
2009-2010,75,Prince William County,730,Sharon C. McAuliffe Elementary,Fully Accredited
2009-2010,75,Prince William County,500,Signal Hill Elementary,Fully Accredited
2009-2010,75,Prince William County,850,Sonnie Penn Elementary,Fully Accredited
2009-2010,75,Prince William County,320,Springwoods Elementary,Fully Accredited
2009-2010,75,Prince William County,680,Stonewall Jackson High,Fully Accredited
2009-2010,75,Prince William County,480,Stonewall Middle,Fully Accredited
2009-2010,75,Prince William County,780,Stuart M. Beville Middle,Fully Accredited
2009-2010,75,Prince William County,20,Sudley Elementary,Fully Accredited
2009-2010,75,Prince William County,270,Suella G. Ellis Elementary,Fully Accredited
2009-2010,75,Prince William County,890,Swans Creek Elementary,Fully Accredited
2009-2010,75,Prince William County,790,Thurgood Marshall Elementary,Fully Accredited
2009-2010,75,Prince William County,430,Triangle Elementary,Fully Accredited
2009-2010,75,Prince William County,390,Victory Elementary,Fully Accredited
2009-2010,75,Prince William County,540,West Gate Elementary,Fully Accredited
2009-2010,75,Prince William County,740,Westridge Elementary,Fully Accredited
2009-2010,75,Prince William County,60,Woodbridge High,Fully Accredited
2009-2010,75,Prince William County,560,Woodbridge Middle,Fully Accredited
2009-2010,75,Prince William County,350,Yorkshire Elementary,Fully Accredited
2009-2010,77,Pulaski County,20,Critzer Elementary,Fully Accredited
2009-2010,77,Pulaski County,540,Dublin Elementary,Fully Accredited
2009-2010,77,Pulaski County,530,Dublin Middle,Fully Accredited
2009-2010,77,Pulaski County,10,Pulaski County Senior High,Fully Accredited
2009-2010,77,Pulaski County,230,Pulaski Elementary,Fully Accredited
2009-2010,77,Pulaski County,460,Pulaski Middle,Fully Accredited
2009-2010,77,Pulaski County,500,Riverlawn Elementary,Fully Accredited
2009-2010,77,Pulaski County,430,Snowville Elementary,Fully Accredited
2009-2010,122,Radford City,10,Belle Heth Elementary,Fully Accredited
2009-2010,122,Radford City,42,John N. Dalton Intermediate,Fully Accredited
2009-2010,122,Radford City,20,McHarg Elementary,Fully Accredited
2009-2010,122,Radford City,41,Radford High,Fully Accredited
2009-2010,78,Rappahannock County,240,Rappahannock County Elementary,Fully Accredited
2009-2010,78,Rappahannock County,230,Rappahannock County High,Fully Accredited
2009-2010,123,Richmond City,80,Adult Career Development Center,Fully Accredited
2009-2010,123,Richmond City,30,Albert Hill Middle,Fully Accredited
2009-2010,123,Richmond City,750,Amelia Street Special Education,Fully Accredited
2009-2010,123,Richmond City,850,Armstrong High,Fully Accredited
2009-2010,123,Richmond City,100,Bellevue Elementary,Fully Accredited
2009-2010,123,Richmond City,50,Binford Middle,Fully Accredited
2009-2010,123,Richmond City,170,Blackwell Elementary,Fully Accredited
2009-2010,123,Richmond City,1100,Broad Rock Elementary,Fully Accredited
2009-2010,123,Richmond City,830,Chimborazo Elementary,Fully Accredited
2009-2010,123,Richmond City,810,Clark Springs Elementary,Fully Accredited
2009-2010,123,Richmond City,1440,E.S.H. Greene Elementary,Accredited with Warning
2009-2010,123,Richmond City,1400,Elizabeth D. Redd Elementary,Fully Accredited
2009-2010,123,Richmond City,1080,Elkhardt Middle,Fully Accredited
2009-2010,123,Richmond City,710,Fairfield Court Elementary,Fully Accredited
2009-2010,123,Richmond City,621,Franklin Military Academy,Fully Accredited
2009-2010,123,Richmond City,1630,Fred D. Thompson Middle,Accredited with Warning
2009-2010,123,Richmond City,1470,G.H. Reid Elementary,Fully Accredited
2009-2010,123,Richmond City,290,George Mason Elementary,Fully Accredited
2009-2010,123,Richmond City,311,George W. Carver Elementary,Fully Accredited
2009-2010,123,Richmond City,741,George Wythe High,Fully Accredited
2009-2010,123,Richmond City,230,Ginter Park Elementary,Fully Accredited
2009-2010,123,Richmond City,470,Henderson Middle,Fully Accredited
2009-2010,123,Richmond City,1510,Huguenot High,Fully Accredited
2009-2010,123,Richmond City,1640,J.B. Fisher Elementary,Fully Accredited
2009-2010,123,Richmond City,390,J.E.B. Stuart Elementary,Fully Accredited
2009-2010,123,Richmond City,1710,J.L. Francis Elementary,Fully Accredited
2009-2010,123,Richmond City,600,John B. Cary Elementary,Fully Accredited
2009-2010,123,Richmond City,730,John Marshall High,Fully Accredited
2009-2010,123,Richmond City,3106,Linwood Holton Elementary,Fully Accredited
2009-2010,123,Richmond City,3105,Lucille M. Brown Middle,Fully Accredited
2009-2010,123,Richmond City,770,Martin Luther King Jr. Middle,Fully Accredited
2009-2010,123,Richmond City,580,Mary Munford Elementary,Fully Accredited
2009-2010,123,Richmond City,690,Maymont Elementary,Fully Accredited
2009-2010,123,Richmond City,3107,Miles Jones Elementary,Fully Accredited
2009-2010,123,Richmond City,330,Oak Grove/Bellemeade Elementary,Fully Accredited
2009-2010,123,Richmond City,90,Open High,Fully Accredited
2009-2010,123,Richmond City,130,Overby-Sheppard Elementary,Fully Accredited
2009-2010,123,Richmond City,3110,Richmond Alternative,Fully Accredited
2009-2010,123,Richmond City,452,Richmond Community High,Fully Accredited
2009-2010,123,Richmond City,1480,Southampton Elementary,Fully Accredited
2009-2010,123,Richmond City,510,Summer Hill/Ruffin Road Elementary,Fully Accredited
2009-2010,123,Richmond City,210,Swansboro Elementary,Fully Accredited
2009-2010,123,Richmond City,480,Thomas C. Boushall Middle,Conditionally Accredited
2009-2010,123,Richmond City,20,Thomas Jefferson High,Fully Accredited
2009-2010,123,Richmond City,660,Westover Hills Elementary,Fully Accredited
2009-2010,123,Richmond City,200,William Fox Elementary,Fully Accredited
2009-2010,123,Richmond City,650,Woodville Elementary,Fully Accredited
2009-2010,79,Richmond County,210,Rappahannock High,Fully Accredited
2009-2010,79,Richmond County,20,Richmond County Elementary,Fully Accredited
2009-2010,79,Richmond County,190,Richmond County Intermediate,Fully Accredited
2009-2010,124,Roanoke City,280,Addison Aerospace Magnet Middle,Fully Accredited
2009-2010,124,Roanoke City,210,Breckinridge Middle,Fully Accredited
2009-2010,124,Roanoke City,20,Crystal Spring Elementary,Fully Accredited
2009-2010,124,Roanoke City,410,Fairview Elementary,Fully Accredited
2009-2010,124,Roanoke City,50,Fallon Park Elementary,Fully Accredited
2009-2010,124,Roanoke City,380,Fishburn Park Elementary,Fully Accredited
2009-2010,124,Roanoke City,300,Garden City Elementary,Fully Accredited
2009-2010,124,Roanoke City,310,Grandin Court Elementary,Fully Accredited
2009-2010,124,Roanoke City,110,Highland Park Elementary,Fully Accredited
2009-2010,124,Roanoke City,320,Huff Lane Intermediate,Fully Accredited
2009-2010,124,Roanoke City,420,Hurt Park Elementary,Fully Accredited
2009-2010,124,Roanoke City,450,James Madison Middle,Fully Accredited
2009-2010,124,Roanoke City,340,Lincoln Terrace Elementary,Fully Accredited
2009-2010,124,Roanoke City,370,Monterey Elementary,Fully Accredited
2009-2010,124,Roanoke City,60,Morningside Elementary,Fully Accredited
2009-2010,124,Roanoke City,390,Patrick Henry High,Fully Accredited
2009-2010,124,Roanoke City,240,Preston Park Elementary,Fully Accredited
2009-2010,124,Roanoke City,220,Roanoke Academy For Mathematics & Science Elementary,Fully Accredited
2009-2010,124,Roanoke City,430,Round Hill Montessori Primary,Fully Accredited
2009-2010,124,Roanoke City,230,Stonewall Jackson Middle,Fully Accredited
2009-2010,124,Roanoke City,70,Virginia Heights Elementary,Fully Accredited
2009-2010,124,Roanoke City,90,Wasena Elementary,Fully Accredited
2009-2010,124,Roanoke City,350,Westside Elementary,Accredited with Warning
2009-2010,124,Roanoke City,400,William Fleming High,Fully Accredited
2009-2010,124,Roanoke City,150,Woodrow Wilson Middle,Fully Accredited
2009-2010,80,Roanoke County,420,Back Creek Elementary,Fully Accredited
2009-2010,80,Roanoke County,440,Bent Mountain Elementary,Fully Accredited
2009-2010,80,Roanoke County,752,Bonsack Elementary,Fully Accredited
2009-2010,80,Roanoke County,180,Burlington Elementary,Fully Accredited
2009-2010,80,Roanoke County,560,Cave Spring Elementary,Fully Accredited
2009-2010,80,Roanoke County,470,Cave Spring High,Fully Accredited
2009-2010,80,Roanoke County,620,Cave Spring Middle,Fully Accredited
2009-2010,80,Roanoke County,330,Clearbrook Elementary,Fully Accredited
2009-2010,80,Roanoke County,40,Fort Lewis Elementary,Fully Accredited
2009-2010,80,Roanoke County,650,Glen Cove Elementary,Fully Accredited
2009-2010,80,Roanoke County,490,Glenvar Elementary,Fully Accredited
2009-2010,80,Roanoke County,610,Glenvar High,Fully Accredited
2009-2010,80,Roanoke County,751,Glenvar Middle,Fully Accredited
2009-2010,80,Roanoke County,600,Green Valley Elementary,Fully Accredited
2009-2010,80,Roanoke County,540,Herman L. Horn Elementary,Fully Accredited
2009-2010,80,Roanoke County,754,Hidden Valley High,Fully Accredited
2009-2010,80,Roanoke County,10,Hidden Valley Middle,Fully Accredited
2009-2010,80,Roanoke County,530,Mason's Cove Elementary,Fully Accredited
2009-2010,80,Roanoke County,290,Mount Pleasant Elementary,Fully Accredited
2009-2010,80,Roanoke County,500,Mountain View Elementary,Fully Accredited
2009-2010,80,Roanoke County,520,Northside High,Fully Accredited
2009-2010,80,Roanoke County,640,Northside Middle,Fully Accredited
2009-2010,80,Roanoke County,480,Oak Grove Elementary,Fully Accredited
2009-2010,80,Roanoke County,50,Penn Forest Elementary,Fully Accredited
2009-2010,80,Roanoke County,60,W.E. Cundiff Elementary,Fully Accredited
2009-2010,80,Roanoke County,630,William Byrd High,Fully Accredited
2009-2010,80,Roanoke County,232,William Byrd Middle,Fully Accredited
2009-2010,81,Rockbridge County,650,Central Elementary,Fully Accredited
2009-2010,81,Rockbridge County,630,Effinger Elementary,Fully Accredited
2009-2010,81,Rockbridge County,150,Fairfield Elementary,Fully Accredited
2009-2010,81,Rockbridge County,678,Maury River Middle,Fully Accredited
2009-2010,81,Rockbridge County,340,Mountain View Elementary,Fully Accredited
2009-2010,81,Rockbridge County,641,Natural Bridge Elementary,Fully Accredited
2009-2010,81,Rockbridge County,22,Rockbridge County High,Fully Accredited
2009-2010,81,Rockbridge County,680,Rockbridge Middle,Fully Accredited
2009-2010,82,Rockingham County,870,Broadway High,Fully Accredited
2009-2010,82,Rockingham County,861,Cub Run Elementary,Fully Accredited
